,station_number,lat,long,station_name,country,year,tmean,tmax,tmin_x,tmin_y,tmin,rainfall
58,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1968,20.2,26.6,13.8,13.8,13.8,303.5
59,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1969,20.6,27.5,13.8,13.8,13.8,102.9
60,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1970,20,26.8,13.3,13.3,13.3,95.5
61,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1971,20,26.5,13.4,13.4,13.4,276.8
62,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1972,21,28,14,14,14,69.7
63,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1973,21.4,27.6,15.1,15.1,15.1,308.7
64,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1974,19.5,25.8,13.3,13.3,13.3,755.4
65,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1975,20.5,27.4,13.5,13.5,13.5,439.9
66,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1976,19.4,26.1,12.6,12.6,12.6,560.3
67,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1977,20.9,28.2,13.5,13.5,13.5,151.6
68,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1978,19.9,26.5,13.3,13.3,13.3,256.4
69,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1979,21.1,27.9,14.3,14.3,14.3,398.6
70,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1980,21.5,28.6,14.4,14.4,14.4,125.8
71,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1981,20.6,27.1,14.1,14.1,14.1,388.6
72,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1982,20.7,27.8,13.6,13.6,13.6,111.9
73,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1983,21,27.2,14.7,14.7,14.7,183.2
74,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1984,19.5,26.1,13,13,13,433.2
75,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1985,20.3,26.9,13.7,13.7,13.7,203.5
76,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1986,20.4,27,13.8,13.8,13.8,218.6
77,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1987,20.4,26.9,13.9,13.9,13.9,376.6
78,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1988,21.3,27.8,14.8,14.8,14.8,319.6
79,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1989,20.4,26.8,14,14,14,246.8
80,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1990,21.3,27.8,14.9,14.9,14.9,212.6
81,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1991,21.6,28.5,14.7,14.7,14.7,137.7
82,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1992,20.4,26.9,13.9,13.9,13.9,243.4
83,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1993,21.2,27.7,14.7,14.7,14.7,323.3
84,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1994,21,28,14,14,14,79.8
85,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1995,20.9,27.2,14.5,14.5,14.5,238.6
86,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1996,21,27.7,14.4,14.4,14.4,196
87,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1997,21.4,27.9,14.9,14.9,14.9,258
88,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1998,21.2,27.2,15.2,15.2,15.2,370
89,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,1999,21.4,27.8,15,15,15,211.8
90,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,2000,21.3,27.6,15,15,15,363.8
91,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,2001,21.5,28.2,14.8,14.8,14.8,155.8
92,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,2002,22,29,14.9,14.9,14.9,63.6
93,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,2003,21.8,28.3,15.2,15.2,15.2,222.8
94,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,2004,21.6,28.4,14.8,14.8,14.8,155.4
95,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,2005,22.1,29.1,15.2,15.2,15.2,131.4
96,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,2006,21.9,28.6,15.2,15.2,15.2,114.6
97,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,2007,21.7,28.2,15.1,15.1,15.1,313.4
98,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,2008,21.3,27.9,14.6,14.6,14.6,176.2
99,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,2009,22.3,28.9,15.6,15.6,15.6,141
100,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,2010,20.1,26,14.2,14.2,14.2,591.6
101,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,2011,21,27.6,14.4,14.4,14.4,373.2
102,46037,-29.44,142.01,TIBOOBURRA POST OFFICE,Australia,2012,20.9,27.9,13.9,13.9,13.9,317
158,10092,-31.48,118.28,MERREDIN,Australia,1968,16.3,22.7,9.9,9.9,9.9,370.4
159,10092,-31.48,118.28,MERREDIN,Australia,1969,17.9,24.7,11,11,11,178.4
160,10092,-31.48,118.28,MERREDIN,Australia,1970,17.6,24.1,11.1,11.1,11.1,349.9
161,10092,-31.48,118.28,MERREDIN,Australia,1971,16.8,23.3,10.4,10.4,10.4,384.4
162,10092,-31.48,118.28,MERREDIN,Australia,1972,18.4,25.3,11.5,11.5,11.5,286.6
163,10092,-31.48,118.28,MERREDIN,Australia,1973,17.1,23.6,10.7,10.7,10.7,378.2
164,10092,-31.48,118.28,MERREDIN,Australia,1974,17.4,23.9,10.8,10.8,10.8,480.7
165,10092,-31.48,118.28,MERREDIN,Australia,1975,17.5,24,11.1,11.1,11.1,336.2
166,10092,-31.48,118.28,MERREDIN,Australia,1976,18.3,24.8,11.7,11.7,11.7,309.7
167,10092,-31.48,118.28,MERREDIN,Australia,1977,18.7,25.2,12.1,12.1,12.1,216.1
168,10092,-31.48,118.28,MERREDIN,Australia,1978,18.8,24.9,12.6,12.6,12.6,460.2
169,10092,-31.48,118.28,MERREDIN,Australia,1979,18,24.5,11.5,11.5,11.5,305
170,10092,-31.48,118.28,MERREDIN,Australia,1980,18.2,24.7,11.7,11.7,11.7,212.1
171,10092,-31.48,118.28,MERREDIN,Australia,1981,17.3,23.4,11.2,11.2,11.2,370.5
172,10092,-31.48,118.28,MERREDIN,Australia,1982,18.2,25,11.4,11.4,11.4,248.8
173,10092,-31.48,118.28,MERREDIN,Australia,1983,18.5,25.2,11.9,11.9,11.9,313.7
174,10092,-31.48,118.28,MERREDIN,Australia,1984,17.3,23.7,10.9,10.9,10.9,289.9
